id,strokes,kanji,on,kun,english,kun2,english2
19,3,女,ジョ、ニョ、ニョオ,おんな、め,"woman, girl, daughter",,
11,3,千,セン,ち,thousand,,
70,7,貝,,かい,shellfish,,
50,6,百,ヒャク,もも,"hundred, many",,
20,3,夕,セキ,ゆう,evening,,
66,7,男,サン、ナン,おとこ,"man, male",,
33,4,日,ニチ、ジツ,ひ、か,"sun, day, Sunday, Japan",,
35,4,文,モン、ブン、モ,ふみ,"writing, composition, literature, sentence",,
62,7,見,ケン,,see,み（る・える・せる）,"see, to see, be visible, show"
51,6,年,ネン,とし,"year, term, age",,
31,4,水,スイ,みず,"water, Wednesday",,
29,4,犬,ケン,いぬ,dog,,
16,3,口,コウ、ク,くち,mouth,,
47,5,本,ホン,もと,"book, this, true, real, counter for cylindrical objects",,
25,4,円,エン,,"circle, yen",まる（い）,round
43,5,生,ショウ、セイ,なま、き,"life, live, birth, raw, grow, student",は（える・やす）、い（きる・ける・かす）、う（む・まれる）、お（う）,"to sprout, appear; cultivate; live;alive; make the most of; give birth; be born; grow"
32,4,中,チュウ,なか、うち,"center, medium, within, China",,
7,2,人,ジン、ニン,ひと,"man, person, human",,
26,4,王,オウ,,king,,
17,3,山,サン,やま,"mountain, pile",,
45,5,田,デン,た,"rice field, paddy",,
1,1,一,イチ、イツ,ひと（つ）、ひと,one,,
5,2,九,キュウ、ク,ここの（つ）、ここの,nine,,
2,2,二,ニ,ふた（つ）、ふた、はた、はつ,two,,
4,2,八,ハチ,や（つ）、や（っつ）、や、よう,eight,,
3,2,七,シチ,なな（つ）、なな、なの,seven,,
30,4,手,シュ,て、た,"hand, help, direction, side, personally",,
24,4,六,ロク,む（つ）、む（っつ）、む、むい,six,,
71,8,学,ガク,,"learning, study",まな（ぶ）,to learn
10,3,三,サン,み（つ）、み（っつ）、み,three,,
14,3,大,タイ、ダイ,,"big, large, great",おお（きい）、おお（いに）,"big;very,greatly"
18,3,子,シ、ス,こ,child,,
46,5,白,ハク、ビャク,しら,"white, Belgium",しろ（い）,white
68,7,赤,セキ、シャク,,red,あか（い）（らむ・まねる）,"red; become red, blush; make red"
6,2,十,ジュウ,とお、と、じー,ten,,
61,6,耳,ジ,みみ,ear,,
28,4,月,ゲツ、ガツ,つき,"moon, month, Monday",,
48,5,目,モク、ボク,め,"eye, classification, order",,
37,5,四,シ,よん、よ、よ（つ・っつ）,four,,
23,4,五,ゴ,いつ、いつ（つ）,five,,
53,6,名,ミョウ、メイ,な,"name, reputation, distinguished, counter for people",,
52,6,気,キ、ケ,,"spirit, intention, energy, disposition, air",,
64,7,車,シャ,くるま,"vehicule, wheel, wagon, cart",,
73,8,空,クウ,そら、から,"sky, empty",あ（く・ける）,"to become empty/occupied; vacate, make empty"
9,2,力,リョク、リキ,ちから,"power, strength, force",りき（む）,"to strain, bear down, swagger"
65,7,村,ソン,むら,village,,
55,6,早,サ、ソウ、サツ,,"early, fast",はや（い）（める・まる）,fast; hasten; be hasty
74,8,青,セイ、ショウ,あお,"blue, green, unripe",あお（い）,"blue, green"
57,6,字,ジ,あざ,"character, letter, section of a village",,
42,5,正,セイ、ショウ,,"right, just, principal, positive",ただ（しい）、ただ（す）、まさ（に）,correct; rectify; indeed
49,5,立,リツ、リュウ,,"stand, rise",た（つ・てる）,to stand; set up
78,9,音,オン、イン,おと、ね,sound,,
60,6,虫,チュウ,むし,"bug, insect",,
34,4,天,テン,あめ、あま,heaven,,
44,5,石,セキ、シャク、コク,いし,stone,,
59,6,竹,チク,たけ,bamboo,,
79,10,校,コウ,,"school, (printing) proof",,
58,6,糸,シ,いと,thread,,
76,8,雨,ウ,あめ、あまー,rain,,
72,8,金,キン、コン,かね、かな,"gold,metal,money, Friday, (Chinese) Jin dynasty",,
40,5,玉,ギョク,たま,"jewel, jade, ball",,
27,4,火,カ,ひ、ほ,"fire, Tuesday",,
80,12,森,シン,もり,forest,,
63,7,町,チョウ,まち,"block, street, town",,
54,6,先,セン,さき,"future, priority, precedence, ahead, previous",ま（ず）,first of all
56,6,休,キュウ,,rest,やす（む・める・まる）,to rest; give it a rest; be rested
8,2,入,ニュウ,,"go/come in, enter",はい（る）、い（る・れる）,"to enter, go in; put in, insert"
67,7,足,ソク,あし,"foot,leg",た（りる・る・す）,"to be enough, suffice; add up; supplement"
77,9,草,ソウ,くさ,"grass, small plants, first draft, cursive handwriting",,
69,7,花,カ、ケ,はな,flower,はな（やか）、はなや（ぐ）,"gorgeous, showy, gaudy; become brilliant"
22,3,土,ド、ト,つち,"earth, soil, ground, Saturday",,
75,8,林,リン,はやし,forest,,
21,3,川,セン,かわ,river,,
36,4,木,ボク、モク,き、こ,"tree, wood, Thursday",,
15,3,小,ショウ,こ、おー,"small, minor, little",ちい（さい）,small
39,5,左,サ,ひだり,left,,
38,5,右,ウ、ユウ,みぎ,right,,
13,3,下,カ、ゲ,した、しも、もと,"low, inferior",くだ(る・さる・す)、さ（がる・げる）、お（りる・ろす）,"to come down; to give (to me); go down, lower, come down, take down"
12,3,上,ジョウ、ショウ,うえ、かみ,"top, best, upper part",あ（げる）、あ（がる）,"to raise; go/come up, rise ; ascend, increase"
41,5,出,シュツ、スイ,,"emerge, origin",で（る）、だ（す）,"to go/come out; put/take out, send"
